Source,Target,Weight,Avg_Popularity,Avg_Streams
french hip hop,pop urbaine,409,47.44117647058823,84359.80882352941
french hip hop,rap francais,249,47.8,59999.0
pop urbaine,rap francais,239,47.8,59999.0
french hip hop,french hip hop,210,47.890625,75237.5
pop urbaine,pop urbaine,199,47.19402985074627,85590.41791044777
pop urbaine,rap marseille,176,51.3125,137443.1875
french hip hop,rap marseille,173,51.3125,137443.1875
rap,trap,146,66.24242424242425,51622.530303030304
hip hop,rap,146,67.81944444444444,43265.680555555555
rap maroc,rap maroc,143,26.153846153846153,422383.3418803419
rap,rap,139,67.10714285714286,51210.17857142857
pop urbaine,r&b francais,112,48.02857142857143,117708.94285714286
french hip hop,r&b francais,109,49.44117647058823,117212.23529411765
rap francais,rap marseille,104,51.3125,137443.1875
atl hip hop,rap,75,65.02325581395348,61289.232558139534
hip hop,trap,69,69.26666666666667,49951.71111111111
rap francais,rap francais,69,46.73913043478261,67077.30434782608
pop rap,rap,67,66.20588235294117,34941.44117647059
melodic rap,rap,66,66.39285714285714,69274.5
arabic hip hop,rap maroc,64,23.78723404255319,518740.1489361702
r&b francais,rap francais,52,51.1,82684.8
rap marseille,rap marseille,51,50.54545454545455,179442.81818181818
r&b francais,rap marseille,51,52.625,197537.5
atl trap,rap,43,67.80952380952381,61008.142857142855
hip hop,hip hop,42,69.525,41121.675
pop,rap,41,59.42857142857143,96779.0
pop rap,trap,38,65.47368421052632,50529.63157894737
melodic rap,trap,36,63.65,82950.85
atl hip hop,hip hop,36,69.3076923076923,62008.769230769234
atl hip hop,trap,34,66.33333333333333,81635.23809523809
canadian pop,rap,33,68.22222222222223,69032.4074074074
pop,pop,33,65.3225806451613,84611.0
canadian hip hop,rap,32,73.79166666666667,105443.70833333333
trap,trap,31,65.44,81146.72
hip hop,pop rap,31,68.52173913043478,15840.260869565218
rap,toronto rap,31,74.47826086956522,109941.65217391304
gangster rap,rap,30,65.05,30676.8
arabic hip hop,french hip hop,28,46.214285714285715,558951.7142857143
cloud rap francais,french hip hop,27,44.55555555555556,43135.27777777778
brooklyn drill,rap,27,60.21052631578947,49447.21052631579
arabic hip hop,pop urbaine,25,46.214285714285715,558951.7142857143
cloud rap francais,pop urbaine,25,44.55555555555556,43135.27777777778
rap,southern hip hop,25,64.27777777777777,34543.77777777778
atl hip hop,melodic rap,24,62.8235294117647,78802.76470588235
canadian hip hop,trap,24,73.38888888888889,105652.11111111111
r&b,rap,24,62.57142857142857,23731.5
atl trap,trap,23,64.9375,52616.125
canadian pop,hip hop,23,73.14285714285714,67119.14285714286
hip hop,melodic rap,23,70.25,51835.125
toronto rap,trap,23,74.29411764705883,111749.82352941176
canadian hip hop,hip hop,22,73.5,70227.3
hip hop,toronto rap,22,73.5,70227.3
french hip hop,old school rap francais,22,49.0,32727.555555555555
old school rap francais,pop urbaine,22,49.0,32727.555555555555
melodic rap,pop rap,21,65.92307692307692,67846.76923076923
miami hip hop,rap,21,62.38461538461539,12236.846153846154
canadian pop,trap,21,72.88235294117646,68072.35294117648
atl trap,hip hop,21,71.4,84006.73333333334
rap maroc,trap maroc,21,32.733333333333334,252794.4
atl hip hop,pop rap,20,65.5,63960.357142857145
hip hop,pop,20,56.333333333333336,113516.13333333333
r&b francais,r&b francais,20,50.666666666666664,94167.11111111111
brooklyn drill,trap,19,59.285714285714285,62993.78571428572
atl trap,melodic rap,18,61.75,6696.666666666667
north carolina hip hop,rap,18,71.0909090909091,83483.63636363637
french hip hop,rap belge,17,42.142857142857146,22598.64285714286
gangster rap,hip hop,16,68.33333333333333,45855.75
chicago rap,rap,16,68.25,21067.75
hip hop,southern hip hop,16,65.07142857142857,41524.42857142857
old school rap francais,rap francais,16,47.125,36579.875
pop urbaine,rap belge,16,43.84615384615385,24195.23076923077
atl hip hop,atl trap,15,61.5,45095.75
cloud rap francais,rap francais,15,41.8,13000.4
drill francais,french hip hop,14,55.57142857142857,63492.57142857143
drill francais,pop urbaine,14,55.57142857142857,63492.57142857143
pop urbaine,rap algerien,14,50.857142857142854,119228.85714285714
french hip hop,turkish trap,14,52.5,41398.0
belgian hip hop,french hip hop,14,44.90909090909091,22575.545454545456
belgian hip hop,pop urbaine,14,44.90909090909091,22575.545454545456
moroccan pop,rap maroc,14,27.583333333333332,270835.8333333333
atl trap,pop rap,13,63.9,7424.1
melodic rap,melodic rap,13,60.23076923076923,76679.69230769231
gangster rap,trap,13,66.58333333333333,40803.916666666664
canadian hip hop,pop rap,13,72.0,82163.58333333333
pop rap,toronto rap,13,72.0,82163.58333333333
atl hip hop,canadian hip hop,13,74.54545454545455,156187.0
atl hip hop,canadian pop,13,73.45454545454545,89370.18181818182
arabic hip hop,rap francais,13,49.142857142857146,730316.2857142857
pop,trap queen,13,64.58333333333333,19594.333333333332
french hip hop,rap algerien,13,50.0,103871.83333333333
hip hop,r&b,13,63.77777777777778,12068.444444444445
pop,trap,13,68.44444444444444,122228.44444444444
canadian pop,pop rap,12,71.0,20450.916666666668
atl hip hop,toronto rap,12,76.2,171606.6
pop urbaine,turkish trap,12,52.5,41398.0
chicago rap,hip hop,12,68.0909090909091,22315.545454545456
conscious hip hop,rap,11,71.1,22382.3
french hip hop,french pop,11,27.833333333333332,142548.66666666666
french pop,pop urbaine,11,27.833333333333332,142548.66666666666
miami hip hop,trap,11,60.714285714285715,6413.285714285715
rap,slap house,11,71.25,162761.75
canadian pop,pop,11,67.1,73244.3
french hip hop,rap conscient,11,46.45454545454545,37068.545454545456
pop urbaine,rap conscient,11,46.45454545454545,37068.545454545456
rap belge,rap francais,11,34.333333333333336,9913.333333333334
moroccan pop,moroccan pop,11,35.0,452867.0909090909
french hip hop,rap maroc,11,27.0,805692.6666666666
atl hip hop,atl hip hop,10,61.5,45155.375
hip hop,miami hip hop,10,65.6,15247.9
arabic hip hop,rap marseille,10,42.25,23255.0
drill francais,rap francais,10,53.8,80188.4
arabic hip hop,arabic hip hop,10,21.1,167495.9
dirty south rap,rap,10,67.83333333333333,20866.833333333332
brooklyn drill,melodic rap,10,61.42857142857143,54531.71428571428
brooklyn drill,hip hop,10,61.0,62473.11111111111
dance pop,pop,10,77.0,200365.7142857143
pop urbaine,rap maroc,10,27.125,903179.375
gangster rap,pop rap,9,60.77777777777778,7663.666666666667
gangster rap,melodic rap,9,65.11111111111111,9817.333333333334
k-pop,pop,9,45.75,50453.375
pop dance,uk dance,9,81.0,201829.2
new orleans rap,rap,9,64.4,6801.4
houston rap,pop,9,59.5,26217.625
belgian hip hop,rap francais,9,38.42857142857143,12241.42857142857
north moroccan rap,rap maroc,9,8.375,111791.75
uk drill,uk hip hop,9,69.0,116617.5
north carolina hip hop,trap,9,72.75,112159.25
arabic hip hop,rap belge,9,43.142857142857146,1112669.5714285714
rap belge,rap maroc,9,38.42857142857143,1089701.142857143
atl hip hop,gangster rap,8,67.71428571428571,61350.71428571428
canadian hip hop,gangster rap,8,72.25,63121.75
canadian pop,gangster rap,8,72.25,63121.75
canadian pop,melodic rap,8,52.285714285714285,61071.28571428572
chicago rap,trap,8,63.625,8230.375
queens hip hop,rap,8,69.0,13602.6
rap francais,turkish trap,8,52.5,41398.0
rap marseille,turkish trap,8,52.5,41398.0
dirty south rap,hip hop,8,67.83333333333333,20866.833333333332
atl hip hop,brooklyn drill,8,56.5,84104.5
arabic hip hop,trap maroc,8,27.125,317240.25
melodic rap,pop,8,44.625,24025.875
arabic hip hop,moroccan pop,8,23.0,273337.8333333333
dance pop,rap,8,72.71428571428571,297131.4285714286
rai,rap algerien,8,31.5,404293.8333333333
r&b,trap,8,59.0,12008.833333333334
r&b francais,rap algerien,8,53.5,171606.0
pop,pop rap,8,64.14285714285714,42104.28571428572
gangster rap,toronto rap,7,74.28571428571429,71854.71428571429
atl hip hop,chicago rap,7,65.71428571428571,4282.0
chicago drill,rap,7,72.4,27052.2
drill,rap,7,72.4,27052.2
slap house,trap,7,67.0,13533.0
old school rap francais,r&b francais,7,53.6,31051.0
rap conscient,rap francais,7,40.0,37212.142857142855
rap algerien,rap francais,7,46.4,51378.0
nyc rap,rap,7,57.333333333333336,39026.333333333336
pop rap,r&b,7,59.4,4785.8
east coast hip hop,rap,7,65.0,15269.8
southern hip hop,trap,7,58.166666666666664,57432.666666666664
rap francais,rap maroc,7,24.666666666666668,842449.6666666666
pop,pop dance,7,68.0,72292.33333333333
trap,uk hip hop,7,60.666666666666664,61596.333333333336
kentucky hip hop,rap,7,66.0,5204.0
atl trap,canadian hip hop,6,74.33333333333333,119836.5
canadian hip hop,melodic rap,6,72.2,219845.8
atl trap,canadian pop,6,74.33333333333333,119836.5
dance pop,neo soul,6,5.333333333333333,121612.33333333333
neo soul,pop,6,5.333333333333333,121612.33333333333
cloud rap francais,rap conscient,6,46.166666666666664,106336.16666666667
canadian hip hop,southern hip hop,6,72.5,86758.5
canadian pop,southern hip hop,6,72.5,86758.5
southern hip hop,toronto rap,6,72.5,86758.5
k-pop boy group,pop,6,47.166666666666664,50282.166666666664
atl hip hop,miami hip hop,6,63.166666666666664,6757.666666666667
edm,trap latino,6,51.0,69419.83333333333
pop dance,trap latino,6,51.0,69419.83333333333
arabic hip hop,r&b francais,6,48.0,562383.75
old school rap francais,rap marseille,6,52.5,41398.0
hip hop,new orleans rap,6,64.4,6801.4
cloud rap francais,rap belge,6,36.333333333333336,32325.0
belgian hip hop,rap belge,6,42.6,231048.2
atl hip hop,north carolina hip hop,6,71.83333333333333,98701.66666666667
drill francais,rap marseille,6,60.0,126660.0
rap,trap queen,6,73.33333333333333,32683.666666666668
atl hip hop,pop,6,63.4,6628.4
dfw rap,rap,6,70.5,9161.5
rap,trap soul,6,68.25,12607.5
canadian trap,rap,6,68.66666666666667,252340.66666666666
atl trap,atl trap,6,52.0,1845.5
edm,pop,6,68.0,72292.33333333333
uk hip hop,uk hip hop,6,71.0,180032.0
london rap,uk hip hop,6,71.0,180032.0
kentucky hip hop,trap,6,66.0,5204.0
pop rap,pop rap,6,58.25,4959.5
musique comorienne,pop urbaine,6,60.0,31009.0
canadian pop,miami hip hop,5,72.0,24157.6
atl trap,toronto rap,5,77.6,143405.6
melodic rap,toronto rap,5,75.75,274309.5
dance pop,hip hop,5,34.6,280573.0
hip hop,queens hip hop,5,67.25,9377.0
conscious hip hop,hip hop,5,76.0,26477.4
hip hop,slap house,5,75.2,251516.8
dance pop,trap queen,5,73.75,8319.5
r&b francais,rap conscient,5,40.6,16164.4
uk dance,uk dance,5,81.0,201829.2
belgian hip hop,cloud rap francais,5,39.6,38421.4
brooklyn drill,southern hip hop,5,55.75,13209.5
french hip hop,rap calme,5,50.333333333333336,30659.666666666668
pop urbaine,rap calme,5,50.333333333333336,30659.666666666668
canadian pop,chicago rap,5,45.4,25303.4
rap belge,rap belge,5,42.6,231048.2
melodic drill,uk hip hop,5,69.0,116617.5
london rap,uk drill,5,69.0,116617.5
atl trap,north carolina hip hop,5,70.0,128594.25
k-pop,rap,5,37.75,34801.0
canadian contemporary r&b,pop,5,68.0,287112.6
houston rap,rap,5,74.5,48142.5
dfw rap,trap,5,71.66666666666667,15124.666666666666
canadian trap,trap,5,68.66666666666667,252340.66666666666
r&b francais,rap belge,5,32.4,18166.8
north carolina hip hop,pop rap,5,72.0,22326.75
rage rap,rap,5,67.0,8373.0
arabic hip hop,belgian hip hop,5,46.2,1135013.0
atl trap,gangster rap,5,52.0,1845.5
arab pop,moroccan pop,5,49.0,942416.3333333334
pop dance,uk pop,5,81.0,36339.666666666664
uk dance,uk pop,5,81.0,36339.666666666664
melodic rap,north carolina hip hop,5,68.2,68079.8
french hip hop,musique comorienne,5,60.0,31009.0
musique comorienne,r&b francais,5,60.0,31009.0
french pop,rap francais,5,55.0,18378.0
canadian hip hop,miami hip hop,4,73.5,27566.25
miami hip hop,toronto rap,4,73.5,27566.25
escape room,pop,4,21.75,91650.75
atl trap,chicago rap,4,70.25,6017.0
permanent wave,pop,4,71.75,63279.75
rap,sudanese hip hop,4,67.0,11891.0
rap,sudanese pop,4,67.0,11891.0
rap,underground hip hop,4,67.0,11891.0
australian hip hop,pop,4,66.5,305225.5
french pop,r&b francais,4,16.25,202505.0
atl hip hop,slap house,4,67.33333333333333,10370.333333333334
melodic rap,slap house,4,67.33333333333333,46899.333333333336
arabic hip hop,trap italiana,4,24.75,157532.75
rap maroc,trap italiana,4,24.75,157532.75
edm,reggaeton,4,76.5,73688.5
pop dance,reggaeton,4,76.5,73688.5
edm,urbano latino,4,76.5,73688.5
pop dance,urbano latino,4,76.5,73688.5
cali rap,dance pop,4,76.0,7875.0
r&b francais,turkish trap,4,52.5,41398.0
pop dance,pop dance,4,80.5,132986.75
german dance,pop dance,4,79.5,238617.0
german dance,uk dance,4,79.5,238617.0
arabic hip hop,north moroccan rap,4,7.75,182084.0
rap algerien,rap maroc,4,22.0,82567.25
melodic rap,nyc rap,4,52.25,48182.25
brooklyn drill,r&b,4,53.5,50633.75
melodic rap,r&b,4,55.5,52881.25
nyc rap,trap,4,52.25,48182.25
rap algerien,rap algerien,4,46.0,46056.25
brooklyn drill,gangster rap,4,61.0,19346.5
chicago drill,hip hop,4,75.5,33282.25
drill,hip hop,4,75.5,33282.25
chicago rap,pop,4,19.5,26043.75
moroccan pop,rap belge,4,48.25,293413.5
pop,r&b,4,81.0,471252.75
colombian pop,ghanaian alternative,4,40.5,106341.0
brooklyn drill,brooklyn drill,4,62.25,13336.75
pop,reggaeton,4,51.0,17180.0
pop,urbano latino,4,51.0,17180.0
dfw rap,hip hop,4,71.66666666666667,15124.666666666666
atl trap,pop,4,66.33333333333333,6771.333333333333
atl hip hop,conscious hip hop,4,70.25,33399.0
conscious hip hop,trap,4,70.25,33399.0
new orleans rap,trap,4,61.0,10040.333333333334
pop rap,southern hip hop,4,60.333333333333336,8196.666666666666
dirty south rap,trap,4,68.66666666666667,32909.0
belgian hip hop,r&b francais,4,26.5,6578.5
cloud rap francais,r&b francais,4,42.25,34317.0
hip hop,north carolina hip hop,4,72.0,22326.75
melodic rap,rage rap,4,65.0,11512.5
rage rap,trap,4,65.0,11512.5
rap conscient,rap maroc,4,27.75,1119532.5
rap maroc,rap tunisien,4,23.333333333333332,149848.66666666666
moroccan pop,rif,4,48.0,862972.0
dance pop,uk pop,4,81.5,27356.5
hip pop,rap,4,61.0,5894.0
rap,urban contemporary,4,50.0,7150.0
brooklyn drill,uk hip hop,4,71.0,180032.0
new york drill,uk hip hop,4,71.0,180032.0
hip hop,kentucky hip hop,4,66.0,5204.0
dutch hip hop,rap maroc,4,25.5,525981.75
miami hip hop,pop,4,59.0,9682.0
musique comorienne,rap marseille,4,60.0,31009.0
deep underground hip hop,rap,4,69.0,6757.5
deep underground hip hop,trap,4,69.0,6757.5
dance pop,escape room,3,5.333333333333333,121612.33333333333
dance pop,indie soul,3,5.333333333333333,121612.33333333333
indie soul,pop,3,5.333333333333333,121612.33333333333
escape room,neo soul,3,5.333333333333333,121612.33333333333
hip hop,neo soul,3,5.333333333333333,121612.33333333333
indie soul,neo soul,3,5.333333333333333,121612.33333333333
neo soul,neo soul,3,5.333333333333333,121612.33333333333
atl hip hop,chicago drill,3,69.66666666666667,5632.666666666667
atl hip hop,drill,3,69.66666666666667,5632.666666666667
atl trap,chicago drill,3,69.66666666666667,5632.666666666667
atl trap,drill,3,69.66666666666667,5632.666666666667
chicago drill,trap,3,69.66666666666667,5632.666666666667
drill,trap,3,69.66666666666667,5632.666666666667
cloud rap francais,old school rap francais,3,50.0,160693.66666666666
k-pop,permanent wave,3,70.0,83073.0
k-pop boy group,permanent wave,3,70.0,83073.0
conscious hip hop,queens hip hop,3,67.0,11891.0
north carolina hip hop,queens hip hop,3,67.0,11891.0
conscious hip hop,sudanese hip hop,3,67.0,11891.0
hip hop,sudanese hip hop,3,67.0,11891.0
north carolina hip hop,sudanese hip hop,3,67.0,11891.0
conscious hip hop,sudanese pop,3,67.0,11891.0
hip hop,sudanese pop,3,67.0,11891.0
north carolina hip hop,sudanese pop,3,67.0,11891.0
conscious hip hop,underground hip hop,3,67.0,11891.0
hip hop,underground hip hop,3,67.0,11891.0
north carolina hip hop,underground hip hop,3,67.0,11891.0
arabic hip hop,old school rap francais,3,53.333333333333336,30207.333333333332
hip hop,west coast rap,3,76.66666666666667,23060.333333333332
rap,west coast rap,3,76.66666666666667,23060.333333333332
australian hip hop,canadian pop,3,64.0,402946.6666666667
french pop,rap algerien,3,0.0,263274.3333333333
atl trap,miami hip hop,3,69.33333333333333,7831.666666666667
atl trap,slap house,3,67.33333333333333,10370.333333333334
brostep,reggaeton,3,75.66666666666667,96280.33333333333
brostep,reggaeton colombiano,3,75.66666666666667,96280.33333333333
edm,reggaeton colombiano,3,75.66666666666667,96280.33333333333
pop dance,reggaeton colombiano,3,75.66666666666667,96280.33333333333
brostep,trap latino,3,75.66666666666667,96280.33333333333
brostep,urbano latino,3,75.66666666666667,96280.33333333333
pop,pop r&b,3,73.66666666666667,30257.0
pop,rock,3,85.0,103902.0
cali rap,pop,3,76.0,7875.0
german dance,scandipop,3,79.5,238617.0
canadian hip hop,new orleans rap,3,68.33333333333333,9203.0
new orleans rap,toronto rap,3,68.33333333333333,9203.0
canadian hip hop,dirty south rap,3,74.33333333333333,37000.666666666664
canadian pop,dirty south rap,3,74.33333333333333,37000.666666666664
dirty south rap,toronto rap,3,74.33333333333333,37000.666666666664
arabic hip hop,rap algerien,3,18.333333333333332,52336.333333333336
atl hip hop,nyc rap,3,51.333333333333336,61395.666666666664
cloud rap francais,cloud rap francais,3,45.0,20738.0
rap,virginia hip hop,3,57.0,18464.0
pop urbaine,rif,3,51.0,367195.3333333333
belgian hip hop,moroccan pop,3,50.666666666666664,208210.33333333334
dutch hip hop,indonesian blues,3,57.0,17713.666666666668
london rap,melodic drill,3,69.0,116617.5
lgbtq+ hip hop,rap,3,75.33333333333333,447261.6666666667
brooklyn drill,nyc rap,3,63.333333333333336,16657.0
houston rap,k-pop,3,49.0,14394.333333333334
k-pop,trap queen,3,49.0,14394.333333333334
k-pop boy group,rap,3,24.0,44430.333333333336
miami hip hop,r&b,3,53.0,3471.3333333333335
east coast hip hop,melodic rap,3,74.5,16125.0
queens hip hop,trap,3,71.33333333333333,16323.333333333334
electropop,pop,3,54.0,37119.666666666664
pop,uk dance,3,70.5,9488.5
detroit hip hop,rap,3,75.0,24199.666666666668
atl trap,conscious hip hop,3,65.0,27881.5
rai,rai,3,0.6666666666666666,595665.3333333334
canadian pop,r&b,3,76.0,302871.6666666667
hip hop,trap soul,3,66.33333333333333,7793.0
canadian trap,pop rap,3,74.0,377515.5
lgbtq+ hip hop,pop,3,64.0,8922.0
rap belge,rap conscient,3,25.333333333333332,27723.666666666668
philly rap,rap,3,64.66666666666667,2039.3333333333333
belgian hip hop,rap maroc,3,44.0,1729849.6666666667
arabic hip hop,indonesian blues,3,36.333333333333336,20880.666666666668
atl hip hop,southern hip hop,3,60.666666666666664,104681.66666666667
east coast hip hop,hip hop,3,58.666666666666664,14699.666666666666
house,uk dance,3,82.0,177304.0
dance pop,pop dance,3,81.5,27356.5
dance pop,uk dance,3,81.5,27356.5
pop dance,trap queen,3,80.0,11773.5
hip hop,hip pop,3,61.0,5894.0
hip hop,urban contemporary,3,50.0,7150.0
grime,uk hip hop,3,71.0,180032.0
manchester hip hop,uk hip hop,3,71.0,180032.0
afrobeats,uk hip hop,3,71.0,180032.0
afroswing,uk hip hop,3,71.0,180032.0
rap,trap latino,3,65.5,4235.5
melodic rap,miami hip hop,3,60.0,7077.666666666667
hip hop,uk hip hop,3,55.5,2378.5
rap,uk hip hop,3,55.5,2378.5
kentucky hip hop,pop rap,3,66.0,5204.0
cloud rap francais,rap maroc,3,45.5,1378015.0
french hip hop,trap maroc,3,40.5,70060.0
pop urbaine,trap maroc,3,40.5,70060.0
pop,post-teen pop,3,65.33333333333333,6909.333333333333
miami hip hop,pop rap,3,47.5,3161.5
chicago rap,pop rap,3,63.0,4583.5
new orleans rap,pop rap,3,58.0,6935.0
pop,puerto rican pop,3,40.0,25162.0
pop,trap latino,3,40.0,25162.0
north carolina hip hop,pop,3,77.0,526256.0
detroit trap,rap,3,66.5,16306.5
deep underground hip hop,hip hop,3,69.0,6757.5
canadian hip hop,slap house,2,79.5,244511.5
canadian pop,slap house,2,79.5,244511.5
slap house,toronto rap,2,79.5,244511.5
gangster rap,slap house,2,66.5,10582.5
arabic hip hop,italian hip hop,2,0.0,60882.5
arabic hip hop,italian pop,2,0.0,60882.5
arabic hip hop,trap latino,2,0.0,60882.5
italian hip hop,rap maroc,2,0.0,60882.5
italian pop,rap maroc,2,0.0,60882.5
rap maroc,trap latino,2,0.0,60882.5
arabic hip hop,edm,2,0.0,60882.5
arabic hip hop,electro house,2,0.0,60882.5
arabic hip hop,pop dance,2,0.0,60882.5
edm,rap maroc,2,0.0,60882.5
electro house,rap maroc,2,0.0,60882.5
pop dance,rap maroc,2,0.0,60882.5
edm,italian hip hop,2,0.0,60882.5
electro house,italian hip hop,2,0.0,60882.5
italian hip hop,pop dance,2,0.0,60882.5
edm,italian pop,2,0.0,60882.5
electro house,italian pop,2,0.0,60882.5
italian pop,pop dance,2,0.0,60882.5
edm,trap italiana,2,0.0,60882.5
electro house,trap italiana,2,0.0,60882.5
pop dance,trap italiana,2,0.0,60882.5
electro house,trap latino,2,0.0,60882.5
complextro,reggaeton,2,73.0,97576.0
electro,reggaeton,2,73.0,97576.0
complextro,reggaeton colombiano,2,73.0,97576.0
electro,reggaeton colombiano,2,73.0,97576.0
complextro,trap latino,2,73.0,97576.0
electro,trap latino,2,73.0,97576.0
complextro,urbano latino,2,73.0,97576.0
electro,urbano latino,2,73.0,97576.0
belgian hip hop,dutch rap pop,2,58.5,78872.5
dutch rap pop,rap belge,2,58.5,78872.5
canadian pop,pop r&b,2,65.0,10427.5
dance pop,glam rock,2,80.5,154353.5
dance pop,mellow gold,2,80.5,154353.5
dance pop,piano rock,2,80.5,154353.5
dance pop,rock,2,80.5,154353.5
glam rock,pop,2,80.5,154353.5
mellow gold,pop,2,80.5,154353.5
piano rock,pop,2,80.5,154353.5
glam rock,uk pop,2,80.5,154353.5
mellow gold,uk pop,2,80.5,154353.5
piano rock,uk pop,2,80.5,154353.5
rock,uk pop,2,80.5,154353.5
alternative dance,dance pop,2,80.5,154353.5
aussietronica,dance pop,2,80.5,154353.5
australian dance,dance pop,2,80.5,154353.5
australian electropop,dance pop,2,80.5,154353.5
alternative dance,pop,2,80.5,154353.5
aussietronica,pop,2,80.5,154353.5
australian dance,pop,2,80.5,154353.5
australian electropop,pop,2,80.5,154353.5
alternative dance,uk pop,2,80.5,154353.5
aussietronica,uk pop,2,80.5,154353.5
australian dance,uk pop,2,80.5,154353.5
australian electropop,uk pop,2,80.5,154353.5
alternative dance,glam rock,2,80.5,154353.5
aussietronica,glam rock,2,80.5,154353.5
australian dance,glam rock,2,80.5,154353.5
australian electropop,glam rock,2,80.5,154353.5
alternative dance,mellow gold,2,80.5,154353.5
aussietronica,mellow gold,2,80.5,154353.5
australian dance,mellow gold,2,80.5,154353.5
australian electropop,mellow gold,2,80.5,154353.5
alternative dance,piano rock,2,80.5,154353.5
aussietronica,piano rock,2,80.5,154353.5
australian dance,piano rock,2,80.5,154353.5
australian electropop,piano rock,2,80.5,154353.5
alternative dance,rock,2,80.5,154353.5
aussietronica,rock,2,80.5,154353.5
australian dance,rock,2,80.5,154353.5
australian electropop,rock,2,80.5,154353.5
montreal indie,rap maroc,2,19.5,16374.0
arabic hip hop,turkish trap,2,52.5,41398.0
old school rap francais,turkish trap,2,52.5,41398.0
pop dance,pop edm,2,79.5,238617.0
pop dance,scandipop,2,79.5,238617.0
pop edm,scandipop,2,79.5,238617.0
scandipop,uk dance,2,79.5,238617.0
pop edm,uk dance,2,79.5,238617.0
canadian pop,new orleans rap,2,67.5,9043.0
north moroccan rap,rap algerien,2,2.5,24811.0
nyc rap,r&b,2,44.0,91188.5
brooklyn drill,virginia hip hop,2,57.0,18464.0
cloud rap francais,rap calme,2,47.5,13729.5
canadian hip hop,chicago drill,2,76.5,59181.5
canadian hip hop,chicago rap,2,76.5,59181.5
canadian hip hop,drill,2,76.5,59181.5
canadian pop,chicago drill,2,76.5,59181.5
canadian pop,drill,2,76.5,59181.5
chicago drill,toronto rap,2,76.5,59181.5
chicago rap,toronto rap,2,76.5,59181.5
drill,toronto rap,2,76.5,59181.5
deep rai,pop urbaine,2,52.5,287649.5
bulgarian r&b,trap italiana,2,60.5,3728.5
cali rap,melodic rap,2,45.5,282150.5
dance pop,r&b,2,82.5,503494.5
afro r&b,colombian pop,2,40.5,106341.0
afrobeats,colombian pop,2,40.5,106341.0
alternative r&b,colombian pop,2,40.5,106341.0
colombian pop,ghanaian pop,2,40.5,106341.0
afro r&b,ghanaian alternative,2,40.5,106341.0
afrobeats,ghanaian alternative,2,40.5,106341.0
alternative r&b,ghanaian alternative,2,40.5,106341.0
ghanaian alternative,ghanaian alternative,2,40.5,106341.0
ghanaian alternative,ghanaian pop,2,40.5,106341.0
deep underground hip hop,lgbtq+ hip hop,2,82.5,666345.0
kentucky hip hop,lgbtq+ hip hop,2,82.5,666345.0
lgbtq+ hip hop,pop rap,2,82.5,666345.0
houston rap,k-pop boy group,2,34.0,18635.0
k-pop boy group,trap queen,2,34.0,18635.0
drill francais,r&b francais,2,57.5,26021.0
latin pop,pop,2,66.5,117029.0
rap algerien,reggae maghreb,2,49.0,358947.0
r&b francais,rap maroc,2,46.0,1086531.5
afrobeats,canadian hip hop,2,81.5,19762.5
canadian hip hop,nigerian pop,2,81.5,19762.5
afrobeats,canadian pop,2,81.5,19762.5
canadian pop,nigerian pop,2,81.5,19762.5
afrobeats,hip hop,2,81.5,19762.5
hip hop,nigerian pop,2,81.5,19762.5
afrobeats,rap,2,81.5,19762.5
nigerian pop,rap,2,81.5,19762.5
afrobeats,toronto rap,2,81.5,19762.5
nigerian pop,toronto rap,2,81.5,19762.5
french hip hop,musique urbaine kinshasa,2,29.0,3012.0
musique urbaine kinshasa,pop urbaine,2,29.0,3012.0
atl hip hop,r&b,2,56.5,3033.5
brooklyn drill,dance pop,2,60.0,12625.0
brooklyn drill,pop,2,60.0,12625.0
brooklyn drill,pop rap,2,62.0,16539.5
east coast hip hop,trap,2,74.5,16125.0
melodic rap,queens hip hop,2,73.0,23567.5
cloud rap francais,uk hip hop,2,45.0,6391.0
french hip hop,uk hip hop,2,45.0,6391.0
pop urbaine,uk hip hop,2,45.0,6391.0
art pop,pop,2,78.5,48077.5
chicago rap,detroit hip hop,2,78.5,34303.5
atl hip hop,dfw rap,2,70.5,9161.5
atl trap,dfw rap,2,70.5,9161.5
gangster rap,pop,2,65.5,1868.0
new orleans rap,southern hip hop,2,56.5,10299.0
deep rai,rai,2,0.0,432817.5
rai,rai algerien,2,0.0,432817.5
canadian hip hop,r&b,2,71.5,28822.0
r&b,toronto rap,2,71.5,28822.0
german techno,pop dance,2,80.0,358968.0
german trance,pop dance,2,80.0,358968.0
pop dance,trance,2,80.0,358968.0
german techno,uk dance,2,80.0,358968.0
german trance,uk dance,2,80.0,358968.0
trance,uk dance,2,80.0,358968.0
atl hip hop,canadian trap,2,68.0,373749.5
canadian trap,melodic rap,2,68.0,373749.5
arab pop,arab pop,2,43.5,66781.0
khaliji,khaliji,2,49.0,78891.5
arab pop,khaleeji iraqi,2,49.0,78383.0
arab pop,khaliji,2,49.0,78383.0
khaleeji iraqi,khaliji,2,49.0,78383.0
dfw rap,pop,2,73.5,43079.0
canadian contemporary r&b,melodic rap,2,68.5,35785.5
canadian contemporary r&b,rap,2,68.5,35785.5
french hip hop,moroccan pop,2,20.0,1765.0
moroccan pop,rap francais,2,20.0,1765.0
funk carioca,funk mtg,2,80.0,3218.0
