Source,Target,Weight,Avg_Popularity,Avg_Streams
pop,rap,130,28.61627906976744,3211795.1279069767
pop,pop,120,36.365591397849464,6308702.419354838
hip hop,pop,70,30.98181818181818,2997630.0
pop,trap,69,33.075471698113205,3884863.547169811
pop,pop dance,65,33.57692307692308,5557689.769230769
edm,pop,58,40.520833333333336,6277706.770833333
pop,pop rap,56,39.62222222222222,3427767.577777778
dance pop,pop,49,47.516129032258064,5679398.258064516
hip hop,rap,49,44.35,4033522.6
rap,rap,44,40.208333333333336,3385851.125
atl hip hop,pop,41,29.741935483870968,4580715.225806451
pop rap,rap,41,52.1875,4633020.9375
rap,trap,41,43.68421052631579,4402615.47368421
pop,r&b,38,38.57142857142857,3013277.3214285714
pop,southern hip hop,35,38.0,2800777.1481481483
dance pop,rap,30,49.23809523809524,4403323.857142857
electro house,pop,26,47.142857142857146,3490261.9523809524
melodic rap,pop,25,36.857142857142854,7147912.428571428
hip hop,pop rap,24,44.714285714285715,4854865.428571428
pop rap,trap,24,48.46153846153846,3743423.5384615385
pop,uk pop,23,45.40909090909091,5767541.545454546
hip hop,trap,23,47.4,4569959.3
opm,opm,21,12.285714285714286,1993146.9285714286
dance pop,trap,21,55.8125,5459503.8125
melodic rap,rap,20,36.857142857142854,4656637.857142857
edm,pop dance,20,32.77777777777778,2847210.222222222
dance pop,pop rap,19,49.25,4186334.0
atl hip hop,rap,19,40.0,4883641.666666667
pop,uk dance,18,63.53846153846154,6586587.384615385
edm,rap,18,52.357142857142854,2934664.6428571427
pop dance,uk pop,17,40.8,5095020.4
dance pop,hip hop,17,60.76923076923077,4842658.923076923
dance pop,edm,16,52.857142857142854,4429993.5
electro house,rap,16,51.92307692307692,2900291.923076923
pop,progressive house,15,59.25,5500381.333333333
pop,pop r&b,15,40.22222222222222,2668911.6666666665
hip hop,melodic rap,15,36.0,5195332.1
dance pop,pop dance,15,42.15384615384615,4875508.769230769
r&b,rap,14,38.53846153846154,2650835.769230769
electropop,pop,14,46.583333333333336,8616763.583333334
pop rap,pop rap,13,55.0,6505769.8
melodic rap,pop rap,13,48.77777777777778,5168660.222222222
edm,trap,13,56.833333333333336,2998017.3333333335
canadian pop,pop,13,16.916666666666668,6635594.666666667
edm,uk pop,13,51.81818181818182,3613724.0
boy band,pop dance,12,16.75,1781383.1666666667
hip hop,hip hop,12,52.166666666666664,5450638.666666667
canadian pop,rap,12,52.2,6393700.8
movie tunes,movie tunes,12,60.333333333333336,109144.0
atl hip hop,dance pop,12,55.666666666666664,4450537.888888889
alt z,pop,12,50.72727272727273,5362488.7272727275
atl hip hop,pop rap,12,49.285714285714285,5700215.857142857
house,pop,11,66.875,2288506.625
art pop,pop,11,26.0,899323.4
metropopolis,pop,11,39.6,1925296.6
opm,pinoy r&b,11,0.0,1104852.2
chicago rap,rap,11,51.2,6504762.2
atl hip hop,hip hop,11,51.8,7140405.4
electro house,trap,11,56.72727272727273,2963154.3636363638
pop dance,pop dance,11,32.77777777777778,2847210.222222222
ohio hip hop,pop,10,25.1,1883937.4
hip pop,pop,10,20.9,4534007.4
melodic rap,trap,10,39.5,5987023.8
dance pop,southern hip hop,10,65.25,4623362.375
edm,hip hop,10,63.875,3708454.625
house,rap,10,63.77777777777778,2861383.888888889
progressive house,rap,10,63.77777777777778,2861383.888888889
rap,uk dance,10,63.77777777777778,2861383.888888889
rap,urban contemporary,10,37.25,2157125.5
dance pop,uk pop,10,44.375,2109038.875
electro house,pop dance,10,22.875,2884898.5
pop,urban contemporary,10,50.75,4289034.5
pop,tropical house,9,40.75,5204145.75
nz pop,pop,9,23.666666666666668,911413.0
dfw rap,pop,9,23.666666666666668,911413.0
hip hop,r&b,9,44.0,1111800.75
chicago rap,hip hop,9,51.2,6504762.2
canadian pop,hip hop,9,52.2,6393700.8
pop,queens hip hop,9,14.333333333333334,3938572.111111111
electro house,hip hop,9,63.875,3708454.625
miami hip hop,rap,9,49.6,7909325.8
edm,edm,9,42.142857142857146,1726775.7142857143
pop,swedish tropical house,8,14.25,330048.75
dance pop,dance pop,8,53.875,3202473.875
dance pop,electro house,8,54.0,2697788.0
pop r&b,rap,8,40.2,1056046.2
metropopolis,rap,8,40.6,902760.4
detroit hip hop,pop,8,24.166666666666668,2365459.6666666665
pop,singer-songwriter pop,8,56.625,1774474.375
chicago rap,pop rap,8,51.2,6504762.2
conscious hip hop,rap,8,48.0,10811950.333333334
new orleans rap,rap,8,48.0,10811950.333333334
conscious hip hop,pop,8,45.5,6447529.125
canadian pop,pop rap,8,46.75,7963766.5
alt z,pop dance,8,50.714285714285715,4173604.4285714286
rap,southern hip hop,8,59.833333333333336,4298795.0
trap,trap,8,47.125,5380094.0
edm,southern hip hop,8,53.57142857142857,3135102.714285714
house,trap,8,65.375,3216831.375
progressive house,trap,8,65.375,3216831.375
trap,uk dance,8,65.375,3216831.375
hip hop,urban contemporary,8,42.57142857142857,1737958.7142857143
contemporary country,pop,8,34.5,3063085.3333333335
pop,progressive electro house,8,46.57142857142857,5061027.142857143
dance pop,melodic rap,8,43.4,5518064.6
big room,pop,8,60.666666666666664,3616518.8333333335
big room,edm,8,59.0,1825739.4
big room,pop dance,8,59.0,1825739.4
edm,electro house,8,30.5,1590287.6666666667
edm,progressive electro house,8,30.5,1590287.6666666667
pop dance,progressive electro house,8,30.5,1590287.6666666667
pop dance,rap,8,31.8,3066570.0
pop,pop edm,7,47.8,5998891.0
dance pop,progressive house,7,53.42857142857143,5875612.0
dance pop,uk dance,7,67.83333333333333,7990236.666666667
art pop,rap,7,32.5,1118428.0
uk dance,uk pop,7,18.166666666666668,6361656.5
indie pop rap,pop,7,41.714285714285715,487594.85714285716
oakland hip hop,pop,7,41.714285714285715,487594.85714285716
atl hip hop,edm,7,62.42857142857143,2368068.714285714
atl hip hop,electro house,7,62.42857142857143,2368068.714285714
hip hop,house,7,68.5,4129237.6666666665
hip hop,progressive house,7,68.5,4129237.6666666665
hip hop,uk dance,7,68.5,4129237.6666666665
country,pop,7,41.4,3671736.4
country road,pop,7,41.4,3671736.4
modern alternative rock,pop,7,30.6,2574405.6
indie pop rap,rap,7,42.2,2060337.4
pop,post-teen pop,7,57.142857142857146,9289152.714285715
atl trap,pop,7,37.666666666666664,7750899.666666667
gangster rap,pop,7,37.666666666666664,7750899.666666667
edm,pop rap,7,49.0,3879945.4
dance pop,r&b,7,54.666666666666664,6037713.5
dutch house,edm,7,30.5,1590287.6666666667
dutch house,pop dance,7,30.5,1590287.6666666667
pop,reggaeton,7,38.857142857142854,5612109.285714285
pop,urbano latino,7,38.857142857142854,5612109.285714285
opm,pinoy hip hop,7,11.5,145548.5
boy band,pop,6,9.5,716770.5
east coast hip hop,pop,6,12.333333333333334,296206.8333333333
electropop,r&b,6,31.166666666666668,416447.6666666667
girl group,pop rap,6,30.5,1963711.5
pop rap,talent show,6,30.5,1963711.5
dfw rap,rap,6,26.5,3374372.8333333335
nz pop,rap,6,23.666666666666668,911413.0
chicago rap,trap,6,48.0,10811950.333333334
conscious hip hop,hip hop,6,48.0,10811950.333333334
conscious hip hop,pop rap,6,48.0,10811950.333333334
conscious hip hop,trap,6,48.0,10811950.333333334
hip hop,new orleans rap,6,48.0,10811950.333333334
new orleans rap,pop rap,6,48.0,10811950.333333334
chicago rap,pop,6,51.8,6376277.8
alt z,edm,6,47.2,5229960.2
electro house,southern hip hop,6,52.833333333333336,3094034.8333333335
atl hip hop,house,6,66.0,2237290.5
atl hip hop,progressive house,6,66.0,2237290.5
atl hip hop,uk dance,6,66.0,2237290.5
barbadian pop,rap,6,35.6,2411046.6
pop,toronto rap,6,12.0,2069095.4
complextro,pop,6,21.666666666666668,8711931.166666666
german techno,pop,6,21.666666666666668,8711931.166666666
dutch edm,pop,6,49.5,8187025.333333333
country pop,pop,6,51.75,4582133.5
modern country rock,pop,6,51.75,4582133.5
edm,r&b,6,34.833333333333336,3067102.3333333335
alt z,electropop,6,47.833333333333336,4116869.1666666665
pop rap,viral pop,6,30.333333333333332,1483744.6666666667
hip hop,miami hip hop,6,42.25,7976970.5
atl hip hop,trap,6,48.5,6312910.0
canadian pop,pop dance,6,25.0,12643133.2
moombahton,pop,6,19.2,4359923.0
pinoy hip hop,tagalog rap,6,0.0,272061.0
opm,tagalog rap,6,0.0,272061.0
dance pop,ohio hip hop,5,34.0,3299015.8
edm,pop edm,5,37.6,6133689.8
pop dance,pop edm,5,37.6,6133689.8
girl group,southern hip hop,5,36.6,2296968.6
girl group,trap,5,36.6,2296968.6
dirty south rap,pop,5,8.0,2353207.4
southern hip hop,talent show,5,36.6,2296968.6
talent show,trap,5,36.6,2296968.6
tropical house,uk pop,5,22.0,8365422.6
p-pop,pinoy r&b,5,0.0,1082067.25
rap,slap house,5,60.5,954378.25
electropop,rap,5,47.0,806403.0
hollywood,movie tunes,5,57.5,56816.5
movie tunes,show tunes,5,57.5,56816.5
barbadian pop,hip hop,5,35.6,2411046.6
atl hip hop,melodic rap,5,34.0,4455176.8
canadian contemporary r&b,pop,5,26.8,6526327.0
neo soul,pop,5,61.6,6348690.4
rap,uk pop,5,39.8,1314707.2
miami hip hop,pop rap,5,40.333333333333336,10607909.0
miami hip hop,trap,5,40.333333333333336,10607909.0
canadian pop,trap,5,49.333333333333336,10622259.0
canadian pop,edm,5,25.0,12643133.2
atl trap,dance pop,5,37.666666666666664,7750899.666666667
dance pop,gangster rap,5,37.666666666666664,7750899.666666667
dance pop,hip pop,5,25.8,4756161.8
dance pop,queens hip hop,5,25.8,4756161.8
electro house,pop rap,5,46.75,4004554.25
pop dance,pop rap,5,29.5,2059411.0
pop dance,trap,5,39.75,2560389.25
edm,slap house,5,22.0,1545464.75
electro house,slap house,5,22.0,1545464.75
indie poptimism,pop,5,53.0,10412630.8
pop,trap soul,5,68.0,5571540.0
electropop,pop dance,5,31.0,5530332.25
pop,trap latino,5,38.4,7402485.6
boy band,swedish tropical house,4,14.25,330048.75
boy band,tropical house,4,29.25,4207775.25
boy band,danish electronic,4,6.75,806325.5
danish electronic,pop,4,6.75,806325.5
boy band,edm,4,6.75,806325.5
pop,rock,4,43.0,4119630.5
girl group,hip hop,4,29.75,2868385.75
girl group,rap,4,26.0,1981953.75
hip hop,talent show,4,29.75,2868385.75
rap,talent show,4,26.0,1981953.75
deep neofolk,opm,4,0.0,1313050.0
opm,p-pop,4,0.0,1082067.25
pinoy r&b,pinoy r&b,4,0.0,1082067.25
canadian pop,chicago rap,4,46.333333333333336,10590303.666666666
southern hip hop,trap,4,58.5,1995363.75
house,southern hip hop,4,64.25,3714225.0
progressive house,southern hip hop,4,64.25,3714225.0
southern hip hop,uk dance,4,64.25,3714225.0
edm,pop r&b,4,69.0,3470953.5
dance pop,dutch edm,4,45.5,6982384.75
czech hip hop,pop,4,39.0,4365682.5
czsk hip hop,pop,4,39.0,4365682.5
contemporary country,dance pop,4,39.0,4575572.5
country,dance pop,4,39.0,4575572.5
country road,dance pop,4,39.0,4575572.5
edm,modern alternative rock,4,19.75,2902945.0
modern alternative rock,pop dance,4,19.75,2902945.0
house,r&b,4,41.25,3218570.5
pop dance,r&b,4,20.5,1522926.5
r&b,slap house,4,41.25,278677.75
deep house,edm,4,50.666666666666664,644764.0
deep house,pop dance,4,50.666666666666664,644764.0
rap,viral pop,4,25.75,1040018.0
east coast hip hop,rap,4,37.0,696832.0
oakland hip hop,rap,4,37.0,696832.0
pop,west coast rap,4,38.0,4942308.0
hip hop,uk pop,4,34.75,966368.75
canadian pop,dance pop,4,17.25,8336872.5
miami hip hop,pop,4,50.0,9865618.5
edm,post-teen pop,4,50.25,11696765.75
pop rap,uk dance,4,68.33333333333333,10029730.666666666
electro house,r&b,4,42.75,4459810.0
rap,toronto rap,4,40.666666666666664,1762962.0
dutch house,pop,4,54.666666666666664,2039234.3333333333
pop dance,southern hip hop,4,39.333333333333336,2362939.6666666665
pop,pop soul,4,54.0,5508165.75
latin pop,pop,4,20.75,9398986.75
pop,reggaeton colombiano,4,51.0,642057.5
pop dance,slap house,4,13.666666666666666,2037157.0
electro house,progressive electro house,4,0.0,1479366.5
electropop,indie poptimism,4,49.25,12552444.75
dance pop,urban contemporary,4,48.0,2444822.25
edm,electropop,4,20.0,5500802.0
pop,slap house,4,56.0,1234691.6666666667
moombahton,rap,4,20.5,4122015.5
pop,uk funky,4,51.666666666666664,16126029.666666666
pinoy hip hop,pinoy r&b,4,0.0,272061.0
pinoy r&b,tagalog rap,4,0.0,272061.0
dancehall,pop,4,66.5,8898203.0
hip hop,southern hip hop,4,58.5,376450.0
pop rap,seattle hip hop,4,84.0,22610.0
dance pop,house,3,64.0,4399915.0
canadian contemporary r&b,electro,3,57.333333333333336,5484163.333333333
canadian pop,electro,3,57.333333333333336,5484163.333333333
electro,pop,3,57.333333333333336,5484163.333333333
canadian contemporary r&b,filter house,3,57.333333333333336,5484163.333333333
canadian pop,filter house,3,57.333333333333336,5484163.333333333
filter house,pop,3,57.333333333333336,5484163.333333333
canadian contemporary r&b,rock,3,57.333333333333336,5484163.333333333
canadian pop,rock,3,57.333333333333336,5484163.333333333
etherpop,r&b,3,21.0,40757.0
indie poptimism,r&b,3,21.0,40757.0
atl hip hop,girl group,3,13.333333333333334,2638838.3333333335
dirty south rap,girl group,3,13.333333333333334,2638838.3333333335
atl hip hop,talent show,3,13.333333333333334,2638838.3333333335
dirty south rap,talent show,3,13.333333333333334,2638838.3333333335
art pop,pop r&b,3,23.666666666666668,911413.0
metropopolis,pop r&b,3,23.666666666666668,911413.0
nz pop,pop r&b,3,23.666666666666668,911413.0
dfw rap,pop r&b,3,23.666666666666668,911413.0
melodic rap,pop r&b,3,23.666666666666668,911413.0
pop r&b,r&b,3,23.666666666666668,911413.0
art pop,dfw rap,3,23.666666666666668,911413.0
art pop,melodic rap,3,23.666666666666668,911413.0
dfw rap,metropopolis,3,23.666666666666668,911413.0
melodic rap,metropopolis,3,23.666666666666668,911413.0
dfw rap,nz pop,3,23.666666666666668,911413.0
melodic rap,nz pop,3,23.666666666666668,911413.0
art pop,r&b,3,23.666666666666668,911413.0
metropopolis,r&b,3,23.666666666666668,911413.0
nz pop,r&b,3,23.666666666666668,911413.0
dfw rap,r&b,3,23.666666666666668,911413.0
melodic rap,r&b,3,23.666666666666668,911413.0
detroit hip hop,r&b,3,0.0,208791.0
deep neofolk,p-pop,3,0.0,1352069.3333333333
deep neofolk,pinoy r&b,3,0.0,1352069.3333333333
chicago rap,new orleans rap,3,48.0,10811950.333333334
conscious hip hop,new orleans rap,3,48.0,10811950.333333334
canadian pop,conscious hip hop,3,46.333333333333336,10590303.666666666
slap house,trap,3,54.0,1112188.0
melodic rap,southern hip hop,3,54.666666666666664,2432981.0
latin pop,reggaeton,3,28.0,13562696.0
latin pop,urbano latino,3,28.0,13562696.0
chicano rap,indie pop rap,3,29.333333333333332,793628.0
electropop,pop rap,3,51.333333333333336,464663.0
indie poptimism,rap,3,54.0,579517.6666666666
canadian hip hop,pop,3,0.0,848707.6666666666
atl hip hop,dfw rap,3,29.333333333333332,5837332.666666667
dfw rap,trap,3,29.333333333333332,5837332.666666667
dutch edm,uk pop,3,52.666666666666664,5920492.333333333
progressive house,uk pop,3,52.666666666666664,5920492.333333333
country pop,dance pop,3,52.0,6090714.0
dance pop,modern country rock,3,52.0,6090714.0
dance pop,modern alternative rock,3,51.0,4130538.0
edm,norwegian pop,3,12.666666666666666,198629.0
norwegian pop,pop dance,3,12.666666666666666,198629.0
downtempo,pop,3,22.333333333333332,1514390.0
pop,shiver pop,3,22.333333333333332,1514390.0
electropop,nyc pop,3,59.0,118726.0
indie pop rap,viral pop,3,19.333333333333332,645284.6666666666
indie pop rap,trap,3,49.0,2193989.0
dark pop,pop,3,44.0,7921449.333333333
canadian pop,electropop,3,24.0,6619369.666666667
pop,talent show,3,42.0,5579059.333333333
hip hop,singer-songwriter pop,3,26.666666666666668,708667.3333333334
rap,singer-songwriter pop,3,26.666666666666668,708667.3333333334
southern hip hop,uk pop,3,46.333333333333336,889751.6666666666
trap,uk pop,3,46.333333333333336,889751.6666666666
chicago rap,miami hip hop,3,40.333333333333336,10607909.0
atl hip hop,chicago rap,3,48.0,10811950.333333334
atl hip hop,conscious hip hop,3,48.0,10811950.333333334
canadian pop,miami hip hop,3,40.666666666666664,10612498.0
new orleans rap,pop,3,24.666666666666668,14869884.0
atl hip hop,canadian pop,3,49.333333333333336,10622259.0
canadian pop,melodic rap,3,49.333333333333336,10622259.0
atl hip hop,new orleans rap,3,48.0,10811950.333333334
new orleans rap,trap,3,48.0,10811950.333333334
edm,melodic rap,3,51.0,1370654.3333333333
electro house,melodic rap,3,51.0,1370654.3333333333
pop dance,post-teen pop,3,67.0,12863839.666666666
house,pop rap,3,63.5,6155454.0
pop rap,progressive house,3,63.5,6155454.0
canadian hip hop,rap,3,61.0,98796.5
swedish pop,uk dance,3,73.0,9547281.0
pop,swedish pop,3,48.0,10878504.0
hip hop,rock,3,73.0,88403.0
rap,rock,3,73.0,88403.0
edm,singer-songwriter pop,3,58.666666666666664,2412679.3333333335
pop dance,singer-songwriter pop,3,58.666666666666664,2412679.3333333335
pop rap,r&b,3,66.33333333333333,2583075.0
pop rap,urban contemporary,3,66.33333333333333,2583075.0
dance pop,electropop,3,44.333333333333336,5472553.0
big room,uk pop,3,64.5,1462970.5
edm,metropopolis,3,63.5,3446122.0
electro house,uk pop,3,55.333333333333336,1724328.6666666667
metropopolis,pop dance,3,63.5,3446122.0
dance pop,dutch house,3,46.0,1723235.6666666667
dance pop,progressive electro house,3,46.0,1723235.6666666667
big room,dance pop,3,59.5,2352208.5
hip hop,pop dance,3,50.0,2446105.5
dutch edm,edm,3,38.333333333333336,1827736.6666666667
dutch edm,pop dance,3,38.333333333333336,1827736.6666666667
dance pop,reggaeton,3,63.666666666666664,655638.3333333334
dance pop,urbano latino,3,63.666666666666664,655638.3333333334
dutch house,electro house,3,0.0,1479366.5
dutch house,progressive electro house,3,0.0,1479366.5
progressive electro house,slap house,3,0.0,1479366.5
r&b,uk pop,3,65.0,2082731.6666666667
electro house,electropop,3,20.0,5500802.0
hip pop,rap,3,0.0,2774499.0
queens hip hop,rap,3,0.0,2774499.0
edm,urban contemporary,3,44.333333333333336,2564616.6666666665
electro house,urban contemporary,3,44.333333333333336,2564616.6666666665
edm,viral pop,3,44.666666666666664,7741501.0
pop dance,viral pop,3,44.666666666666664,7741501.0
dance pop,slap house,3,44.0,1611563.0
pinoy hip hop,pinoy hip hop,3,0.0,272061.0
tagalog rap,tagalog rap,3,0.0,272061.0
p-pop,pinoy hip hop,3,0.0,272061.0
p-pop,tagalog rap,3,0.0,272061.0
belgian edm,big room,3,60.0,2964944.0
belgian edm,edm,3,60.0,2964944.0
belgian edm,pop dance,3,60.0,2964944.0
pop dance,swedish pop,3,40.666666666666664,1474880.0
pop rap,southern hip hop,3,58.5,376450.0
alt z,danish electronic,2,22.0,493943.5
danish electronic,nyc pop,2,22.0,493943.5
edm,nyc pop,2,22.0,493943.5
nyc pop,pop dance,2,22.0,493943.5
atl hip hop,slap house,2,57.5,1633088.0
melodic rap,slap house,2,57.5,1633088.0
canadian contemporary r&b,r&b,2,78.0,90866.5
canadian contemporary r&b,rap,2,78.0,90866.5
latin hip hop,latin pop,2,2.0,19914400.5
latin hip hop,puerto rican pop,2,2.0,19914400.5
puerto rican pop,reggaeton,2,2.0,19914400.5
latin pop,trap latino,2,2.0,19914400.5
puerto rican pop,trap latino,2,2.0,19914400.5
puerto rican pop,urbano latino,2,2.0,19914400.5
electropop,indie pop rap,2,40.5,676949.5
etherpop,indie pop rap,2,40.5,676949.5
indie pop rap,indie poptimism,2,40.5,676949.5
electropop,oakland hip hop,2,40.5,676949.5
etherpop,oakland hip hop,2,40.5,676949.5
indie poptimism,oakland hip hop,2,40.5,676949.5
etherpop,pop rap,2,40.5,676949.5
